0311	Khai thác hải sản	Khai thác thủy sản	Giấy phép khai thác thuỷ sản
0312	Khai thác thủy sản nội địa	Khai thác thủy sản	Giấy phép khai thác thuỷ sản
0321	Nuôi trồng hải sản	Kinh doanh thủy sản	
0322	Nuôi trồng thủy sản nội địa	Kinh doanh thủy sản	
0130	Trồng cây lương thực, thực phẩm khác	Xuất khẩu gạo	Giấy chứng nhận đủ điều kiện kinh doanh xuất khẩu gạo
0141	Chăn nuôi trâu, bò	Kinh doanh chăn nuôi trang trại	Giấy chứng nhận đủ điều kiện chăn nuôi
0142	Chăn nuôi ngựa, lừa, la	Kinh doanh chăn nuôi trang trại	Giấy chứng nhận đủ điều kiện chăn nuôi
0143	Chăn nuôi lợn	Kinh doanh chăn nuôi trang trại	Giấy chứng nhận đủ điều kiện chăn nuôi
0144	Chăn nuôi gia cầm	Kinh doanh chăn nuôi trang trại	Giấy chứng nhận đủ điều kiện chăn nuôi
0149	Chăn nuôi khác	Kinh doanh chăn nuôi trang trại	Giấy chứng nhận đủ điều kiện chăn nuôi
0150	Trồng trọt, chăn nuôi hỗn hợp	Kinh doanh chăn nuôi trang trại	Giấy chứng nhận đủ điều kiện chăn nuôi
0161	Hoạt động dịch vụ trồng trọt	Sản xuất phân bón	Giấy chứng nhận đủ điều kiện sản xuất phân bón
0162	Hoạt động dịch vụ chăn nuôi	Kinh doanh giết mổ gia súc, gia cầm	Giấy chứng nhận vệ sinh an toàn thực phẩm
0170	Săn bắt, đánh bẫy và hoạt động dịch vụ liên quan	Kinh doanh thủy sản	
0321	Nuôi trồng hải sản	Sản xuất, ương dưỡng giống thủy sản	Giấy chứng nhận cơ sở đủ điều kiện sản xuất, ương dưỡng giống thủy sản
0510	Khai thác than cứng	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0520	Khai thác than non	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0610	Khai thác dầu thô	Hoạt động dầu khí	Giấy chứng nhận đăng ký đầu tư (trên cơ sở Hợp đồng dầu khí)
0620	Khai thác khí đốt tự nhiên	Hoạt động dầu khí	Giấy chứng nhận đăng ký đầu tư (trên cơ sở Hợp đồng dầu khí)
0710	Khai thác quặng sắt	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0729	Khai thác quặng kim loại khác	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0811	Khai thác đá, cát, sỏi, đất sét	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0891	Khai thác khoáng chất hoá học và khoáng chất dùng để sản xuất phân bón	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0892	Khai thác than bùn	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0899	Khai thác khoáng sản khác chưa được phân vào đâu	Khai thác khoáng sản	Giấy phép khai thác khoáng sản
0910	Hoạt động dịch vụ hỗ trợ khai thác dầu thô và khí đốt tự nhiên	Hoạt động dầu khí	Giấy chứng nhận đăng ký đầu tư (trên cơ sở Hợp đồng dầu khí)
0990	Hoạt động dịch vụ hỗ trợ khai thác mỏ và khai thác đá khác	Kinh doanh dịch vụ thăm dò khoáng sản	Giấy phép thăm dò khoáng sản
1010	Chế biến, bảo quản thịt và các sản phẩm từ thịt	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1020	Chế biến, bảo quản thủy sản và các sản phẩm từ thủy sản	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1030	Chế biến và bảo quản rau quả	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1040	Sản xuất dầu, mỡ động, thực vật	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1050	Sản xuất sản phẩm bơ sữa	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1061	Xay xát và sản xuất bột thô	Xuất khẩu gạo	Giấy chứng nhận đủ điều kiện kinh doanh xuất khẩu gạo
1062	Sản xuất tinh bột và các sản phẩm từ tinh bột	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1071	Sản xuất bánh từ bột	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1072	Sản xuất đường	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1073	Sản xuất ca cao, sô cô la và mứt kẹo	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1074	Sản xuất mì ống, mì sợi và sản phẩm tương tự	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1075	Sản xuất thức ăn chế biến sẵn	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1079	Sản xuất thực phẩm khác chưa được phân vào đâu	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1080	Sản xuất thức ăn gia súc	Sản xuất thức ăn thủy sản, thức ăn chăn nuôi	Giấy chứng nhận cơ sở đủ điều kiện sản xuất thức ăn thủy sản
1101	Chưng cất, tinh chế rượu mạnh	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1102	Sản xuất rượu vang	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1103	Sản xuất bia và mạch nha ủ men bia	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1104	Sản xuất đồ uống không cồn, nước khoáng	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
1200	Sản xuất sản phẩm thuốc lá	Kinh doanh sản phẩm thuốc lá	Giấy phép sản xuất sản phẩm thuốc lá
2011	Sản xuất hóa chất cơ bản	Sản xuất, kinh doanh hóa chất	Giấy chứng nhận đủ điều kiện sản xuất hóa chất có điều kiện
2012	Sản xuất phân bón và hợp chất ni-tơ	Sản xuất phân bón	Giấy chứng nhận đủ điều kiện sản xuất phân bón
2013	Sản xuất plastic và cao su tổng hợp dạng nguyên sinh	Sản xuất, kinh doanh hóa chất	Giấy chứng nhận đủ điều kiện sản xuất hóa chất có điều kiện
2021	Sản xuất hóa chất trừ sâu và sản phẩm hóa chất nông nghiệp khác	Kinh doanh thuốc bảo vệ thực vật	
2022	Sản xuất sơn, véc ni và các chất sơn phủ tương tự, mực in và ma tít	Sản xuất, kinh doanh hóa chất	Giấy phép kinh doanh hoá chất
2023	Sản xuất xà phòng và các chất tẩy rửa, làm bóng và chế phẩm vệ sinh	Sản xuất, kinh doanh hóa chất	Giấy phép kinh doanh hoá chất
2024	Sản xuất mỹ phẩm, xà phòng, chất tẩy rửa, dầu bóng và chế phẩm vệ sinh khác	Sản xuất mỹ phẩm	Giấy chứng nhận đủ điều kiện sản xuất mỹ phẩm
2029	Sản xuất hóa chất khác chưa được phân vào đâu	Sản xuất, kinh doanh hóa chất	Giấy phép kinh doanh hoá chất
2030	Sản xuất sợi nhân tạo	Sản xuất, kinh doanh hóa chất	Giấy phép kinh doanh hoá chất
2051	Sản xuất thuốc nổ	Kinh doanh vật liệu nổ công nghiệp	Giấy chứng nhận đủ điều kiện sản xuất vật liệu nổ công nghiệp
2052	Sản xuất keo dán	Sản xuất, kinh doanh hóa chất	Giấy phép kinh doanh hoá chất
2053	Sản xuất tinh dầu	Sản xuất, kinh doanh hóa chất	Giấy phép kinh doanh hoá chất
2059	Sản xuất sản phẩm hóa chất khác chưa được phân vào đâu	Sản xuất, kinh doanh hóa chất	Giấy phép kinh doanh hoá chất
2100	Sản xuất thuốc, hóa dược và dược liệu	Kinh doanh dược	Giấy chứng nhận đủ điều kiện kinh doanh dược
2211	Sản xuất săm lốp cao su	Sản xuất, kinh doanh hóa chất	Giấy phép kinh doanh hoá chất
2590	Sản xuất sản phẩm khác từ kim loại đúc sẵn chưa được phân vào đâu	Sản xuất con dấu	
2651	Sản xuất thiết bị đo lường, kiểm tra, định hướng và điều khiển	Kinh doanh thiết bị y tế	Giấy chứng nhận lưu hành tự do
2660	Sản xuất thiết bị bức xạ, thiết bị điện tử dùng trong y tế và trị liệu	Kinh doanh thiết bị y tế	Giấy chứng nhận lưu hành tự do
2670	Sản xuất thiết bị quang học và thiết bị chụp ảnh	Kinh doanh thiết bị y tế	Giấy chứng nhận lưu hành tự do
2750	Sản xuất thiết bị gia dụng	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
2910	Sản xuất xe có động cơ	Sản xuất, lắp ráp, nhập khẩu xe ô tô	Giấy chứng nhận đủ điều kiện sản xuất, lắp ráp ô tô
2920	Sản xuất thân xe có động cơ, rơ moóc và bán rơ moóc	Sản xuất, lắp ráp, nhập khẩu xe ô tô	Giấy chứng nhận đủ điều kiện sản xuất, lắp ráp ô tô
2930	Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ và động cơ xe	Sản xuất, lắp ráp, nhập khẩu xe ô tô	Giấy chứng nhận đủ điều kiện sản xuất, lắp ráp ô tô
3011	Đóng và sửa chữa tàu và công trình nổi	Kinh doanh dịch vụ vận chuyển hàng nguy hiểm	Giấy phép vận chuyển hàng nguy hiểm
3020	Sản xuất đầu máy xe lửa và toa xe	Kinh doanh vận tải đường sắt	Giấy phép kinh doanh vận tải đường sắt
3030	Sản xuất máy bay, tàu vũ trụ và máy móc liên quan	Kinh doanh dịch vụ thiết kế, sản xuất, bảo dưỡng tàu bay	Giấy phép cho cơ sở thiết kế, sản xuất tàu bay
3250	Sản xuất dụng cụ và thiết bị y tế, nha khoa, chỉnh hình và phục hồi chức năng	Kinh doanh thiết bị y tế	Giấy chứng nhận lưu hành tự do
3290	Sản xuất khác chưa được phân vào đâu	Sản xuất con dấu	
3510	Sản xuất, truyền tải và phân phối điện	Hoạt động phát điện, truyền tải điện, phân phối điện, bán buôn điện, bán lẻ điện	Giấy phép hoạt động điện lực
3520	Sản xuất và phân phối khí đốt bằng đường ống dẫn	Kinh doanh xăng dầu	Giấy xác nhận đủ điều kiện kinh doanh xăng dầu
3530	Cung cấp hơi nước và điều hòa không khí	Hoạt động phát điện, truyền tải điện, phân phối điện, bán buôn điện, bán lẻ điện	Giấy phép hoạt động điện lực
3600	Khai thác, xử lý và cung cấp nước	Kinh doanh dịch vụ khai thác tài nguyên nước	Giấy phép khai thác nước bề mặt/nước dưới đất/nước biển
3811	Thu gom rác thải không độc hại	Kinh doanh dịch vụ vận chuyển, xử lý chất thải nguy hại	Giấy phép môi trường
3812	Thu gom rác thải độc hại	Kinh doanh dịch vụ vận chuyển, xử lý chất thải nguy hại	Giấy phép môi trường
3821	Xử lý và tiêu hủy rác thải không độc hại	Kinh doanh dịch vụ vận chuyển, xử lý chất thải nguy hại	Giấy phép môi trường
3822	Xử lý và tiêu hủy rác thải độc hại	Kinh doanh dịch vụ vận chuyển, xử lý chất thải nguy hại	Giấy phép môi trường
3830	Tái chế phế liệu	Nhập khẩu phế liệu	Giấy phép môi trường
3900	Xử lý ô nhiễm và hoạt động quản lý chất thải khác	Kinh doanh dịch vụ quan trắc môi trường	Giấy chứng nhận đủ điều kiện hoạt động dịch vụ quan trắc môi trường
4100	Xây dựng nhà các loại	Kinh doanh bất động sản	Chứng chỉ hành nghề môi giới BĐS / Sàn giao dịch BĐS
4210	Xây dựng công trình đường bộ	Hành nghề quản lý dự án đầu tư xây dựng	Chứng chỉ năng lực hoạt động xây dựng lĩnh vực quản lý dự án
4220	Xây dựng công trình công ích	Hành nghề tư vấn giám sát thi công xây dựng	Chứng chỉ năng lực hoạt động xây dựng lĩnh vực giám sát thi công
4290	Xây dựng công trình kỹ thuật dân dụng khác	Hành nghề thiết kế, thẩm tra thiết kế xây dựng	Chứng chỉ năng lực hoạt động xây dựng lĩnh vực thiết kế xây dựng
4311	Phá dỡ	Hành nghề quản lý dự án đầu tư xây dựng	Chứng chỉ năng lực hoạt động xây dựng lĩnh vực quản lý dự án
4312	Chuẩn bị mặt bằng	Hành nghề khảo sát xây dựng	Chứng chỉ năng lực hoạt động xây dựng lĩnh vực khảo sát xây dựng
4321	Lắp đặt hệ thống điện	Kinh doanh dịch vụ thí nghiệm chuyên ngành xây dựng	Giấy chứng nhận đủ điều kiện hoạt động thí nghiệm chuyên ngành xây dựng
4329	Lắp đặt hệ thống xây dựng khác	Kinh doanh dịch vụ thí nghiệm chuyên ngành xây dựng	Giấy chứng nhận đủ điều kiện hoạt động thí nghiệm chuyên ngành xây dựng
4330	Hoàn thiện công trình xây dựng	Hành nghề quản lý dự án đầu tư xây dựng	Chứng chỉ năng lực hoạt động xây dựng lĩnh vực quản lý dự án
4510	Bán buôn, bán lẻ và sửa chữa xe có động cơ	Kinh doanh vận tải đường bộ	Giấy phép kinh doanh vận tải bằng xe ô tô
4520	Bảo dưỡng và sửa chữa xe có động cơ	Kinh doanh dịch vụ kiểm định xe cơ giới	Giấy chứng nhận đủ điều kiện hoạt động kiểm định xe cơ giới
4611	Đại lý bán buôn nông, lâm sản nguyên liệu, động vật sống	Xuất khẩu gạo	Giấy chứng nhận đủ điều kiện kinh doanh xuất khẩu gạo
4619	Đại lý bán buôn hàng hóa tổng hợp	Hoạt động mua bán hàng hóa của nhà cung cấp dịch vụ nước ngoài tại Việt Nam	Giấy phép kinh doanh
4631	Bán buôn gạo, lúa mì, hạt ngũ cốc và thực phẩm có nguồn gốc từ ngũ cốc	Xuất khẩu gạo	Giấy chứng nhận đủ điều kiện kinh doanh xuất khẩu gạo
4632	Bán buôn thực phẩm	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
4633	Bán buôn đồ uống	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
4634	Bán buôn sản phẩm thuốc lá, thuốc lào	Kinh doanh sản phẩm thuốc lá	Giấy phép phân phối/bán buôn/bán lẻ sản phẩm thuốc lá
4635	Bán buôn dược phẩm và dụng cụ y tế	Kinh doanh dược	Giấy chứng nhận đủ điều kiện kinh doanh dược
4641	Bán buôn vải, hàng may mặc, giày dép	Hoạt động mua bán hàng hóa của nhà cung cấp dịch vụ nước ngoài tại Việt Nam	Giấy phép kinh doanh
4649	Bán buôn đồ dùng gia đình khác	Hoạt động mua bán hàng hóa của nhà cung cấp dịch vụ nước ngoài tại Việt Nam	Giấy phép kinh doanh
4661	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	Kinh doanh xăng dầu	Giấy xác nhận đủ điều kiện làm thương nhân đầu mối kinh doanh xăng dầu
4662	Bán buôn kim loại và quặng kim loại	Kinh doanh vàng	Giấy phép kinh doanh mua, bán vàng miếng
4663	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	Hoạt động mua bán hàng hóa của nhà cung cấp dịch vụ nước ngoài tại Việt Nam	Giấy phép kinh doanh
4664	Bán buôn máy móc, thiết bị và phụ tùng máy khác	Hoạt động mua bán hàng hóa của nhà cung cấp dịch vụ nước ngoài tại Việt Nam	Giấy phép kinh doanh
4669	Bán buôn chuyên doanh khác	Hoạt động mua bán hàng hóa của nhà cung cấp dịch vụ nước ngoài tại Việt Nam	Giấy phép kinh doanh
4711	Bán lẻ lương thực, thực phẩm, đồ uống và thuốc lá trong các cửa hàng kinh doanh tổng hợp	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
4719	Bán lẻ tổng hợp khác	Hoạt động mua bán hàng hóa của nhà cung cấp dịch vụ nước ngoài tại Việt Nam	Giấy phép thành lập cơ sở bán lẻ
4721	Bán lẻ lương thực trong các cửa hàng chuyên doanh	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
4722	Bán lẻ thực phẩm trong các cửa hàng chuyên doanh	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
4723	Bán lẻ đồ uống trong các cửa hàng chuyên doanh	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
4724	Bán lẻ thuốc lá, thuốc lào trong các cửa hàng chuyên doanh	Kinh doanh sản phẩm thuốc lá	Giấy phép bán lẻ sản phẩm thuốc lá
4732	Bán lẻ nhiên liệu động cơ trong các cửa hàng chuyên doanh	Kinh doanh xăng dầu	Giấy xác nhận đủ điều kiện làm đại lý bán lẻ xăng/Giấy chứng nhận cửa hàng đủ điều kiện bán lẻ xăng dầu
4751	Bán lẻ vải, hàng may mặc, giày dép trong các cửa hàng chuyên doanh	Hoạt động mua bán hàng hóa của nhà cung cấp dịch vụ nước ngoài tại Việt Nam	Giấy phép thành lập cơ sở bán lẻ
4759	Bán lẻ đồ dùng gia đình khác trong các cửa hàng chuyên doanh	Hoạt động mua bán hàng hóa của nhà cung cấp dịch vụ nước ngoài tại Việt Nam	Giấy phép thành lập cơ sở bán lẻ
4761	Bán lẻ thiết bị thông tin và truyền thông trong các cửa hàng chuyên doanh	Kinh doanh sản phẩm, dịch vụ an ninh mạng	Giấy phép nhập khẩu sản phẩm an toàn thông tin mạng
4771	Bán lẻ dược phẩm và dụng cụ y tế trong các cửa hàng chuyên doanh	Kinh doanh dược	Giấy chứng nhận đủ điều kiện kinh doanh dược
4772	Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh	Hoạt động mua bán hàng hóa của nhà cung cấp dịch vụ nước ngoài tại Việt Nam	Giấy phép thành lập cơ sở bán lẻ
4781	Bán lẻ lương thực, thực phẩm, đồ uống và thuốc lá tại quầy hàng, sạp hàng và chợ	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
4791	Bán lẻ theo hình thức đặt hàng bưu điện hoặc internet	Hoạt động thương mại điện tử	Giấy phép kinh doanh dịch vụ chứng thực hợp đồng điện tử
4799	Bán lẻ khác không trong cửa hàng, quầy hàng, sạp hàng	Kinh doanh theo phương thức bán hàng đa cấp	Giấy chứng nhận đăng ký hoạt động bán hàng đa cấp
4911	Vận tải hành khách đường sắt	Kinh doanh vận tải đường sắt	Giấy phép kinh doanh vận tải đường sắt
4912	Vận tải hàng hóa đường sắt	Kinh doanh vận tải đường sắt	Giấy phép kinh doanh vận tải đường sắt
4921	Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)	Kinh doanh vận tải đường bộ	Giấy phép kinh doanh vận tải bằng xe ô tô
4922	Vận tải hành khách đường bộ khác	Kinh doanh vận tải đường bộ	Giấy phép kinh doanh vận tải bằng xe ô tô
4923	Vận tải hàng hóa đường bộ	Kinh doanh vận tải đường bộ	Giấy phép kinh doanh vận tải bằng xe ô tô
4930	Vận tải đường ống	Kinh doanh dịch vụ vận chuyển hàng nguy hiểm	Giấy phép vận chuyển hàng nguy hiểm
5011	Vận tải hành khách đường biển và ven biển	Kinh doanh dịch vụ vận chuyển hàng nguy hiểm	Giấy phép vận chuyển hàng nguy hiểm
5012	Vận tải hàng hóa đường biển và ven biển	Kinh doanh dịch vụ vận chuyển hàng nguy hiểm	Giấy phép vận chuyển hàng nguy hiểm
5021	Vận tải hành khách đường thủy nội địa	Kinh doanh dịch vụ đào tạo thuyền viên	Giấy chứng nhận cơ sở đủ điều kiện kinh doanh dịch vụ đào tạo thuyền viên
5022	Vận tải hàng hóa đường thủy nội địa	Kinh doanh dịch vụ vận chuyển hàng nguy hiểm	Giấy phép vận chuyển hàng nguy hiểm
5110	Vận tải hành khách hàng không	Kinh doanh vận tải hàng không	Giấy phép kinh doanh vận chuyển hàng không
5120	Vận tải hàng hóa hàng không	Kinh doanh vận tải hàng không	Giấy phép kinh doanh hàng không
5210	Kho bãi và lưu giữ hàng hóa	Kinh doanh kho ngoại quan, địa điểm thu gom hàng lẻ	Quyết định công nhận kho ngoại quan/địa điểm thu gom hàng lẻ
5221	Hoạt động dịch vụ hỗ trợ liên quan đến vận tải đường bộ	Kinh doanh dịch vụ kiểm định xe cơ giới	Giấy chứng nhận đủ điều kiện hoạt động kiểm định xe cơ giới
5222	Hoạt động dịch vụ hỗ trợ liên quan đến vận tải đường thủy	Đào tạo, huấn luyện thuyền viên hàng hải	Giấy chứng nhận đủ điều kiện đào tạo, huấn luyện thuyền viên hàng hải
5223	Hoạt động dịch vụ hỗ trợ liên quan đến vận tải hàng không	Kinh doanh dịch vụ hàng không tại cảng hàng không	Giấy phép cung cấp dịch vụ hàng không tại cảng hàng không, sân bay
5224	Bốc xếp hàng hóa	Kinh doanh địa điểm làm thủ tục hải quan, tập kết, kiểm tra, giám sát hải quan	Quyết định công nhận địa điểm tập kết, kiểm tra, giám sát hải quan
5229	Hoạt động dịch vụ hỗ trợ liên quan đến vận tải khác	Kinh doanh dịch vụ vận chuyển hàng nguy hiểm	Giấy phép vận chuyển hàng nguy hiểm
5310	Hoạt động bưu chính	Kinh doanh dịch vụ bưu chính	Giấy phép kinh doanh dịch vụ bưu chính
5320	Hoạt động chuyển phát	Kinh doanh dịch vụ bưu chính	Giấy phép kinh doanh dịch vụ bưu chính
5510	Hoạt động của các cơ sở lưu trú ngắn ngày	Kinh doanh dịch vụ lữ hành	Giấy phép kinh doanh dịch vụ lữ hành
5590	Cơ sở lưu trú khác	Kinh doanh dịch vụ lữ hành	Giấy phép kinh doanh dịch vụ lữ hành
5610	Nhà hàng và các dịch vụ ăn uống phục vụ lưu động	Kinh doanh thực phẩm thuộc lĩnh vực quản lý chuyên ngành	Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm
